Symbol,Market Cap,Short Float,Shs Float,Shs Outstand,source
HEAR,477.42M,14.77%,15.76M,15.92M,FINVIZ
HEES,1.59B,2.51%,31.77M,36.22M,FINVIZ
HELE,5.43B,9.85%,23.90M,24.10M,FINVIZ
HEPA,114.89M,2.68%,76.12M,76.22M,FINVIZ
HEPS,1.49B,0.35%,286.00M,326.63M,FINVIZ
HERAU,N/A,N/A,N/A,N/A,YAHOO
HERO,Not Found,Not Found,Not Found,Not Found,YAHOO
HEXO,401.55M,14.28%,143.38M,149.97M,FINVIZ
HGBL,71.23M,0.18%,27.68M,35.25M,FINVIZ
HGEN,460.02M,21.16%,49.19M,58.84M,FINVIZ
HGSH,44.78M,0.54%,6.79M,25.10M,FINVIZ
HHR,2.63B,0.26%,16.30M,50.48M,FINVIZ
HIBB,1.18B,24.11%,12.71M,15.69M,FINVIZ
HIHO,16.19M,2.06%,2.06M,4.03M,FINVIZ
HIII,731.25M,0.13%,60.00M,75.00M,FINVIZ
HIIIU,-,0.00%,60.00M,-,FINVIZ
HIMX,1.90B,16.52%,149.23M,174.67M,FINVIZ
HITI,370.30M,0.51%,46.00M,48.37M,FINVIZ
HIVE,1.78B,-,352.41M,376.61M,FINVIZ
HLAH,318.86M,0.06%,27.60M,32.47M,FINVIZ
HLAHU,-,0.00%,25.80M,-,FINVIZ
HLBZ,315.69M,5.98%,2.96M,5.37M,FINVIZ
HLIT,932.31M,9.53%,98.78M,101.22M,FINVIZ
HLMN,2.18B,N/A,84.15M,187.57M,YAHOO
HLNE,5.55B,3.78%,33.63M,36.00M,FINVIZ
HLTH,1.39B,2.09%,126.33M,149.54M,FINVIZ
HMCOU,N/A,N/A,29.31M,N/A,YAHOO
HMHC,1.83B,2.95%,126.33M,127.50M,FINVIZ
HMPT,628.01M,0.45%,137.97M,139.00M,FINVIZ
HNDL,Not Found,Not Found,Not Found,Not Found,YAHOO
HNRG,98.55M,2.54%,22.88M,30.61M,FINVIZ
HNST,841.80M,14.95%,53.66M,68.08M,FINVIZ
HOFV,224.94M,12.11%,58.11M,75.35M,FINVIZ
HOLI,1.22B,0.42%,55.58M,60.52M,FINVIZ
HOLX,18.59B,1.48%,249.21M,256.23M,FINVIZ
HOMB,3.90B,2.83%,150.50M,164.78M,FINVIZ
HON,155.88B,0.82%,689.54M,693.80M,FINVIZ
HONE,795.24M,1.00%,49.03M,51.78M,FINVIZ
HOOD,31.19B,3.31%,670.63M,891.96M,FINVIZ
HOOK,149.90M,9.35%,23.57M,32.80M,FINVIZ
HOPE,1.78B,1.86%,117.12M,123.59M,FINVIZ
HOTH,26.70M,1.04%,19.94M,23.70M,FINVIZ
HOWL,446.32M,3.56%,7.02M,27.57M,YAHOO
HPLTU,N/A,N/A,N/A,N/A,YAHOO
HQY,5.39B,3.57%,81.97M,83.48M,FINVIZ
HRMY,2.36B,2.88%,45.35M,56.94M,FINVIZ
HROW,271.12M,3.93%,23.92M,26.74M,FINVIZ
HRTX,1.08B,35.43%,79.80M,98.46M,FINVIZ
HRZN,358.91M,2.32%,N/A,20.43M,YAHOO
HSDT,32.87M,3.40%,1.97M,2.04M,FINVIZ
HSIC,10.55B,2.88%,137.96M,140.36M,FINVIZ
HST,11.92B,8.42%,705.48M,707.60M,FINVIZ
HSTO,29.75M,0.66%,36.34M,37.20M,FINVIZ
HTBK,712.69M,1.35%,57.72M,60.09M,FINVIZ
HTBX,139.85M,8.58%,24.31M,25.14M,FINVIZ
HTGM,44.45M,2.35%,6.47M,6.69M,FINVIZ
HTHT,15.05B,8.38%,177.67M,311.41M,FINVIZ
HTLD,1.31B,2.82%,40.23M,79.91M,FINVIZ
HTLF,2.09B,1.16%,39.82M,42.24M,FINVIZ
HTOO,164.14M,6.32%,7.84M,12.05M,FINVIZ
HUDI,235.49M,4.89%,3.12M,11.04M,FINVIZ
HUGE,73.20M,2.32%,35.69M,35.99M,FINVIZ
HUIZ,125.96M,1.76%,35.89M,51.92M,FINVIZ
HUMA,N/A,N/A,49.76M,103M,YAHOO
HUSN,16.68M,1.83%,4.53M,6.41M,FINVIZ
HUT,2.86B,2.16%,125.08M,142.51M,FINVIZ
HWC,4.27B,2.01%,86.01M,86.81M,FINVIZ
HWELU,N/A,N/A,N/A,N/A,YAHOO
HX,112.01M,13.55%,5.43M,16.26M,FINVIZ
HYACU,N/A,N/A,N/A,N/A,YAHOO
HYFM,1.50B,10.33%,36.75M,37.86M,FINVIZ
HYLS,Not Found,Not Found,Not Found,Not Found,YAHOO
HYMC,97.89M,2.63%,59.54M,59.93M,FINVIZ
HYRE,148.70M,9.03%,18.59M,20.52M,FINVIZ
HYW,174.99M,0.04%,14.00M,16.76M,FINVIZ
HYZN,1.33B,N/A,88.87M,247.22M,YAHOO
HZNP,27.09B,1.50%,221.59M,225.12M,FINVIZ
IAC,13.67B,1.71%,76.81M,86.16M,FINVIZ
IART,5.63B,6.78%,72.69M,84.69M,FINVIZ
IAS,3.51B,1.66%,25.37M,153.91M,YAHOO
IBB,Not Found,Not Found,Not Found,Not Found,YAHOO
IBIO,181.26M,6.82%,215.73M,217.00M,FINVIZ
IBKR,29.89B,3.30%,87.37M,91.36M,FINVIZ
IBOC,2.64B,1.74%,53.29M,63.36M,FINVIZ
IBRX,3.13B,12.38%,74.40M,384.82M,FINVIZ
IBTB,Not Found,Not Found,Not Found,Not Found,YAHOO
IBTD,Not Found,Not Found,Not Found,Not Found,YAHOO
IBTX,3.13B,2.51%,37.27M,42.76M,FINVIZ
ICAD,265.12M,3.24%,23.20M,24.99M,FINVIZ
ICHR,1.28B,2.25%,28.11M,28.18M,FINVIZ
ICLK,665.37M,1.69%,68.25M,94.39M,FINVIZ
ICLN,Not Found,Not Found,Not Found,Not Found,YAHOO
ICLR,22.79B,1.37%,51.71M,52.91M,FINVIZ
ICPT,552.33M,27.57%,28.07M,33.18M,FINVIZ
ICUI,5.07B,2.41%,19.83M,21.20M,FINVIZ
ICVX,1.00B,3.57%,19.39M,39.39M,YAHOO
IDCC,2.05B,4.66%,30.25M,30.80M,FINVIZ
IDEX,1.01B,9.71%,432.48M,433.10M,FINVIZ
IDN,167.75M,1.63%,17.03M,18.71M,FINVIZ
IDRA,45.17M,1.23%,41.34M,49.91M,FINVIZ
IDXX,56.10B,0.87%,84.27M,85.33M,FINVIZ
IDYA,814.72M,8.95%,25.77M,32.85M,FINVIZ
IEA,505.79M,15.07%,16.63M,24.47M,FINVIZ
IEF,Not Found,Not Found,Not Found,Not Found,YAHOO
IEI,Not Found,Not Found,Not Found,Not Found,YAHOO
IEP,15.14B,0.92%,26.62M,251.00M,FINVIZ
IEUS,Not Found,Not Found,Not Found,Not Found,YAHOO
IFBD,61.52M,0.86%,14.12M,25.74M,FINVIZ
IFMK,31.60M,1.07%,9.82M,30.23M,FINVIZ
IFRX,176.51M,1.07%,37.61M,44.19M,FINVIZ
IGAC,370.12M,0.30%,30.00M,37.50M,FINVIZ
IGF,Not Found,Not Found,Not Found,Not Found,YAHOO
IGIB,Not Found,Not Found,Not Found,Not Found,YAHOO
IGIC,415.95M,2.11%,26.33M,45.50M,FINVIZ
IGMS,1.50B,22.37%,14.57M,33.37M,FINVIZ
IGNYU,-,0.01%,4.33M,-,FINVIZ
IGOV,Not Found,Not Found,Not Found,Not Found,YAHOO
IGSB,Not Found,Not Found,Not Found,Not Found,YAHOO
IHRT,2.82B,2.88%,107.80M,141.14M,FINVIZ
IHT,37.42M,0.37%,2.69M,9.12M,FINVIZ
IHYF,Not Found,Not Found,Not Found,Not Found,YAHOO
III,394.38M,1.64%,35.20M,48.31M,FINVIZ
IIIIU,-,0.00%,25.57M,-,FINVIZ
IIIV,735.06M,4.68%,21.85M,21.93M,FINVIZ
IIN,157.59M,2.01%,8.46M,9.07M,FINVIZ
IINN,35.62M,3.40%,5.16M,8.50M,FINVIZ
IIVI,6.48B,16.98%,104.57M,104.95M,FINVIZ
IJT,Not Found,Not Found,Not Found,Not Found,YAHOO
IKNA,408.93M,3.22%,35.83M,35.85M,FINVIZ
IKNX,56.15M,2.60%,1.05M,1.98M,FINVIZ
IKT,48.68M,3.06%,7.99M,12.24M,FINVIZ
ILMN,61.25B,1.27%,145.52M,146.00M,FINVIZ
ILPT,1.87B,1.46%,64.35M,65.15M,FINVIZ
IMAB,4.42B,8.29%,30.44M,73.40M,FINVIZ
IMAC,35.67M,0.06%,20.70M,25.14M,FINVIZ
IMAQ,233.92M,N/A,N/A,23.8M,YAHOO
IMAQR,N/A,N/A,N/A,N/A,YAHOO
IMAQU,N/A,N/A,N/A,N/A,YAHOO
IMBI,129.99M,0.80%,18.60M,19.10M,FINVIZ
IMCR,1.71B,0.52%,32.76M,43.79M,FINVIZ
IMGN,1.24B,9.65%,180.58M,199.89M,FINVIZ
IMGO,894.43M,2.57%,31.90M,33.60M,FINVIZ
IMMP,277.65M,0.09%,61.82M,64.87M,FINVIZ
IMMR,263.67M,4.96%,22.04M,30.98M,FINVIZ
IMNM,259.95M,2.47%,8.59M,11.46M,FINVIZ
IMPL,193.93M,11.04%,5.68M,19.51M,YAHOO
IMRA,95.29M,1.97%,6.24M,17.72M,FINVIZ
IMRN,20.56M,1.60%,5.45M,5.60M,FINVIZ
IMRX,670.50M,2.95%,13.9M,25.94M,YAHOO
IMTE,43.13M,4.66%,3.09M,8.44M,FINVIZ
IMTX,928.30M,7.39%,39.72M,62.91M,FINVIZ
IMUX,237.47M,4.39%,19.79M,21.75M,FINVIZ
IMV,168.35M,0.95%,61.84M,67.78M,FINVIZ
IMVT,943.49M,8.91%,39.90M,98.29M,FINVIZ
IMXI,658.55M,1.70%,31.64M,38.43M,FINVIZ
INAB,141.63M,0.17%,15.91M,18.66M,FINVIZ
INBX,1.46B,3.62%,22.74M,37.82M,FINVIZ
INCR,363.52M,0.17%,24.83M,53.62M,FINVIZ
INCY,14.81B,2.34%,217.55M,220.08M,FINVIZ
INDI,1.65B,N/A,43.81M,102.05M,YAHOO
INDP,41.67M,1.43%,2.87M,5.82M,FINVIZ
INDY,Not Found,Not Found,Not Found,Not Found,YAHOO
INFI,230.56M,5.06%,86.79M,88.66M,FINVIZ
INFN,1.66B,11.01%,204.47M,206.78M,FINVIZ
INGN,907.19M,2.72%,22.28M,22.44M,FINVIZ
INKAU,N/A,N/A,N/A,N/A,YAHOO
INM,12.28M,0.81%,8.00M,8.05M,FINVIZ
INMB,313.00M,7.86%,12.98M,14.97M,FINVIZ
INMD,7.19B,5.39%,49.48M,81.70M,FINVIZ
INNV,902.44M,7.90%,18.94M,135.62M,FINVIZ
INO,1.57B,22.23%,206.87M,209.56M,FINVIZ
INOD,292.05M,0.65%,24.27M,26.52M,FINVIZ
INOV,6.33B,7.63%,73.00M,150.69M,FINVIZ
INPX,108.32M,3.15%,108.30M,110.04M,FINVIZ
INSE,320.24M,7.98%,21.71M,22.59M,FINVIZ
INSG,659.06M,13.31%,102.45M,102.94M,FINVIZ
INSM,3.47B,9.43%,97.34M,109.58M,FINVIZ
INTA,1.67B,0.67%,54.18M,58.78M,FINVIZ
INTC,225.08B,1.57%,4.05B,4.06B,FINVIZ
INTU,167.35B,0.64%,265.26M,273.00M,FINVIZ
INTZ,69.78M,6.93%,9.47M,17.54M,FINVIZ
INVA,1.23B,13.27%,69.02M,88.42M,FINVIZ
INVE,433.78M,3.68%,20.95M,21.91M,FINVIZ
INVO,37.81M,1.01%,9.33M,10.44M,FINVIZ
INVZ,702.61M,0.77%,122.89M,125.19M,FINVIZ
IO,67.69M,9.37%,25.38M,26.20M,FINVIZ
IONS,4.48B,4.85%,139.89M,140.96M,FINVIZ
IOVA,3.83B,10.61%,143.14M,153.75M,FINVIZ
IPA,161.56M,0.75%,18.02M,19.22M,FINVIZ
IPAXU,N/A,N/A,N/A,N/A,YAHOO
IPDN,19.55M,3.08%,6.95M,13.47M,FINVIZ
IPGP,8.62B,4.99%,36.01M,53.47M,FINVIZ
IPHA,472.53M,0.03%,51.13M,78.89M,FINVIZ
IPSC,1.21B,10.57%,15.66M,54.82M,FINVIZ
IPVIU,N/A,N/A,N/A,N/A,YAHOO
IPW,86.12M,3.27%,6.68M,23.85M,FINVIZ
IPWR,82.84M,2.73%,5.24M,5.87M,FINVIZ
IQ,6.60B,19.04%,313.30M,795.65M,FINVIZ
IRBT,2.39B,25.74%,27.51M,28.10M,FINVIZ
IRCP,715.88M,0.29%,26.19M,580.72M,FINVIZ
IRDM,5.45B,6.13%,116.89M,132.87M,FINVIZ
IRIX,124.87M,1.23%,11.46M,15.65M,FINVIZ
IRNT,1.10B,4.54%,53.65M,84.42M,FINVIZ
IRTC,2.14B,4.18%,28.91M,29.32M,FINVIZ
IRWD,2.10B,12.72%,160.59M,161.95M,FINVIZ
ISAA,221.83M,N/A,N/A,17.87M,YAHOO
ISBC,3.73B,3.83%,226.80M,235.04M,FINVIZ
ISEE,1.96B,21.65%,59.20M,93.41M,FINVIZ
ISIG,12.47M,0.87%,1.06M,1.75M,FINVIZ
ISLE,257.45M,0.06%,21.66M,26.61M,FINVIZ
ISO,416.80M,1.13%,102.81k,38.84M,YAHOO
ISPC,53.70M,0.32%,5.16M,6.49M,FINVIZ
ISRG,128.20B,0.98%,346.72M,356.80M,FINVIZ
ISTB,Not Found,Not Found,Not Found,Not Found,YAHOO
ISTR,196.54M,0.26%,9.58M,10.41M,FINVIZ
ISUN,76.18M,8.20%,6.51M,9.06M,FINVIZ
ITCI,3.48B,6.91%,77.32M,81.23M,FINVIZ
ITHXU,-,0.00%,23.54M,-,FINVIZ
ITI,232.52M,0.73%,41.78M,41.88M,FINVIZ
ITMR,499.81M,1.65%,10.06M,16.39M,FINVIZ
ITOS,940.80M,2.24%,35.02M,35.12M,FINVIZ
ITQRU,-,0.05%,23.00M,-,FINVIZ
ITRI,3.55B,3.95%,44.91M,45.14M,FINVIZ
ITRM,103.43M,1.81%,176.16M,180.02M,FINVIZ
IUSB,Not Found,Not Found,Not Found,Not Found,YAHOO
IUSG,Not Found,Not Found,Not Found,Not Found,YAHOO
IUSV,Not Found,Not Found,Not Found,Not Found,YAHOO
IVA,604.56M,1.64%,11.77M,38.63M,FINVIZ
IVAC,118.66M,0.74%,23.79M,24.24M,FINVIZ
IVR,915.39M,11.05%,289.12M,289.68M,YAHOO
IXAQU,N/A,N/A,N/A,N/A,YAHOO
IXUS,Not Found,Not Found,Not Found,Not Found,YAHOO
IZEA,108.20M,1.78%,57.29M,61.39M,FINVIZ
JACK,2.15B,5.68%,21.24M,22.26M,FINVIZ
JAGX,106.63M,4.37%,40.90M,44.81M,FINVIZ
JAKK,103.22M,7.73%,3.91M,6.22M,FINVIZ
JAMF,5.44B,5.08%,116.97M,117.91M,FINVIZ
JAN,17.90M,6.38%,2.30M,2.40M,FINVIZ
JANX,947.08M,8.32%,13.45M,41.61M,YAHOO
JAQC,196.48M,N/A,13.23M,16.36M,YAHOO
JAQCU,N/A,N/A,13.23M,N/A,YAHOO
JAZZ,8.12B,6.90%,55.44M,59.45M,FINVIZ
JBHT,20.56B,1.53%,83.75M,105.51M,FINVIZ
JBLU,4.53B,3.73%,316.00M,317.70M,FINVIZ
JCICU,-,0.01%,34.50M,-,FINVIZ
JD,124.07B,2.44%,1.03B,1.55B,FINVIZ
JFIN,205.81M,0.10%,26.75M,54.02M,FINVIZ
JFU,333.93M,3.08%,96.45M,100.36M,FINVIZ
JG,142.28M,1.01%,62.51M,118.20M,FINVIZ
JKHY,12.18B,3.52%,73.29M,74.12M,FINVIZ
JMACU,N/A,N/A,N/A,N/A,YAHOO
JNCE,450.33M,3.74%,41.88M,51.21M,FINVIZ
JOAN,439.05M,8.13%,40.60M,42.16M,FINVIZ
JOBS,4.01B,4.31%,33.28M,67.44M,FINVIZ
JOET,Not Found,Not Found,Not Found,Not Found,YAHOO
JOFFU,N/A,N/A,40.87M,N/A,YAHOO
JRJC,18.27M,12.64%,0.24M,2.30M,FINVIZ
JRVR,1.19B,1.77%,36.29M,37.27M,FINVIZ
JSPR,N/A,N/A,2.09M,36.52M,YAHOO
JUGGU,-,0.01%,25.80M,-,FINVIZ
JUPW,44.93M,7.07%,5.74M,11.36M,FINVIZ
JWEL,148.49M,0.07%,20.13M,23.59M,FINVIZ
JYAC,131.44M,0.00%,10.86M,13.45M,FINVIZ
JYNT,1.26B,6.53%,13.90M,14.29M,FINVIZ
JZXN,49.71M,2.29%,7.22M,21.90M,FINVIZ
KAIIU,N/A,N/A,N/A,N/A,YAHOO
KAIRU,-,0.00%,23.55M,-,FINVIZ
KALA,104.75M,20.86%,42.19M,64.56M,FINVIZ
KALV,456.33M,5.18%,23.81M,24.43M,FINVIZ
KAVL,59.45M,1.00%,15.95M,28.33M,FINVIZ
KBAL,398.06M,1.52%,36.06M,36.81M,FINVIZ
KBNT,43.39M,0.72%,11.37M,13.98M,FINVIZ
KBSF,Not Found,Not Found,Not Found,Not Found,YAHOO
KBWB,Not Found,Not Found,Not Found,Not Found,YAHOO
KBWD,Not Found,Not Found,Not Found,Not Found,YAHOO
KBWP,Not Found,Not Found,Not Found,Not Found,YAHOO
KC,5.27B,5.76%,93.01M,223.41M,FINVIZ
KDMN,1.67B,14.81%,160.24M,171.97M,FINVIZ
KDNY,482.01M,3.56%,41.29M,43.86M,FINVIZ
KDP,50.74B,2.97%,846.87M,1.42B,FINVIZ
KELYA,716.33M,1.41%,35.37M,39.40M,FINVIZ
KERN,75.11M,9.15%,22.84M,24.53M,FINVIZ
KHC,43.91B,4.02%,661.27M,1.22B,FINVIZ
KIDS,1.39B,11.39%,13.75M,19.28M,FINVIZ
KIIIU,-,0.00%,28.75M,-,FINVIZ
KINZ,343.05M,0.01%,23.45M,27.6M,YAHOO
KINZU,-,0.00%,27.60M,-,FINVIZ
KIRK,314.27M,27.04%,12.61M,14.16M,FINVIZ
KLAC,55.41B,1.67%,151.76M,152.97M,FINVIZ
KLAQ,350.75M,0.01%,28.75M,28.75M,YAHOO
KLAQU,-,0.00%,28.75M,-,FINVIZ
KLDO,194.27M,5.75%,38.74M,42.54M,FINVIZ
KLIC,3.61B,8.38%,60.43M,62.02M,FINVIZ
KLTR,1.22B,2.06%,49.31M,126.49M,YAHOO
KLXE,39.42M,20.64%,4.55M,8.40M,FINVIZ
KMDA,255.50M,2.49%,28.57M,44.75M,FINVIZ
KMPH,354.70M,9.98%,31.21M,35.15M,YAHOO
KNBE,4.17B,22.32%,13.96M,169.41M,FINVIZ
KNDI,346.98M,15.83%,61.37M,75.51M,FINVIZ
KNSA,727.92M,10.57%,30.21M,68.40M,FINVIZ
KNSL,4.26B,2.88%,21.42M,22.68M,FINVIZ
KNTE,1.06B,5.35%,37.12M,43.54M,FINVIZ
KOD,5.89B,7.71%,45.57M,51.57M,FINVIZ
KOPN,507.86M,6.82%,77.04M,88.81M,FINVIZ
KOR,520.96M,-,95.39M,126.98M,FINVIZ
KOSS,144.49M,12.97%,4.39M,8.56M,FINVIZ
KPLT,457.98M,15.81%,70.11M,98.37M,FINVIZ
KPTI,420.86M,19.59%,68.11M,75.19M,FINVIZ
KRBP,29.64M,0.36%,10.04M,15.44M,YAHOO
KRKR,62.90M,0.05%,30.87M,40.97M,FINVIZ
KRMA,Not Found,Not Found,Not Found,Not Found,YAHOO
KRMD,111.28M,2.41%,39.38M,44.49M,FINVIZ
KRNL,372.15M,0.11%,30.48M,38.09M,FINVIZ
KRNLU,-,0.01%,30.48M,-,FINVIZ
KRNT,7.89B,1.58%,45.97M,46.20M,FINVIZ
KRNY,1.03B,1.94%,68.80M,77.67M,FINVIZ
KRON,939.37M,9.26%,46.72M,54.51M,FINVIZ
KROS,959.56M,5.03%,19.92M,23.31M,FINVIZ
KRT,444.11M,1.83%,5.01M,18.91M,FINVIZ
KSICU,N/A,N/A,N/A,N/A,YAHOO
KSS,7.03B,12.16%,148.84M,152.00M,FINVIZ
KTOS,2.68B,2.38%,122.05M,124.70M,FINVIZ
KTRA,38.75M,3.13%,28.97M,32.44M,FINVIZ
KTTA,36.71M,0.68%,6.25M,12.97M,FINVIZ
KURA,1.08B,10.35%,62.57M,66.28M,FINVIZ
KURI,Not Found,Not Found,Not Found,Not Found,YAHOO
KURIU,-,0.00%,34.27M,-,FINVIZ
KVSA,403.69M,0.05%,N/A,35.49M,YAHOO
KVSB,480.06M,N/A,N/A,42.77M,YAHOO
KVSC,666.05M,0.00%,N/A,57.76M,YAHOO
KXIN,325.83M,2.02%,18.27M,41.72M,FINVIZ
KYMR,2.96B,5.00%,28.30M,45.09M,FINVIZ
KZIA,149.89M,0.11%,3.40M,12.79M,FINVIZ
KZR,389.12M,5.98%,34.05M,51.91M,FINVIZ
LAAAU,N/A,N/A,N/A,N/A,YAHOO
LABP,576.22M,1.23%,26.99M,33.64M,FINVIZ
LAKE,166.86M,4.82%,7.56M,7.98M,FINVIZ
LAMR,11.72B,1.42%,86.16M,101.13M,FINVIZ
LAND,688.11M,1.71%,28.77M,29.36M,FINVIZ
LASR,1.23B,3.02%,42.21M,42.31M,FINVIZ
LAUR,3.27B,2.89%,96.43M,191.99M,FINVIZ
LAZR,5.77B,11.32%,206.00M,340.25M,FINVIZ
LBAI,899.72M,4.01%,48.39M,50.64M,FINVIZ
LBPH,128.36M,0.69%,9.26M,16.83M,FINVIZ
LBRDK,31.93B,3.70%,169.15M,152.78M,YAHOO
LBTYA,15.93B,0.60%,515.13M,557.05M,FINVIZ
LBTYK,16.55B,2.80%,453.36M,366.05M,YAHOO
LCAA,348.82M,N/A,N/A,28.65M,YAHOO
LCAAU,N/A,N/A,N/A,N/A,YAHOO
LCAHU,N/A,N/A,N/A,N/A,YAHOO
LCAP,291.65M,2.11%,23.18M,23.65M,YAHOO
LCAPU,N/A,N/A,23.18M,N/A,YAHOO
LCID,60.74B,27.12%,207.00M,258.75M,FINVIZ
LCNB,211.59M,0.33%,10.99M,12.74M,FINVIZ
LDEM,Not Found,Not Found,Not Found,Not Found,YAHOO
LDHAU,N/A,N/A,23M,N/A,YAHOO
LE,856.73M,10.67%,14.49M,32.98M,FINVIZ
LECO,8.53B,1.89%,58.04M,59.46M,FINVIZ
LEDS,33.52M,2.18%,2.81M,4.06M,FINVIZ
LEGAU,N/A,N/A,34.5M,N/A,YAHOO
LEGN,7.66B,1.44%,127.35M,138.51M,FINVIZ
LEGO,340.95M,2.88%,24.80M,30.31M,FINVIZ
LEGOU,-,0.07%,24.80M,-,FINVIZ
LESL,4.00B,13.11%,183.77M,188.26M,FINVIZ
LEXX,32.50M,8.80%,4.25M,5.10M,FINVIZ
LFMD,139.72M,6.70%,17.82M,26.29M,FINVIZ
LFST,4.79B,3.14%,176.13M,313.54M,FINVIZ
LFTR,253.97M,0.61%,20.71M,25.89M,FINVIZ
LFVN,91.04M,2.57%,11.89M,13.76M,FINVIZ
LGACU,-,0.01%,71.88M,-,FINVIZ
LGHL,81.38M,5.82%,18.17M,26.73M,FINVIZ
LGND,2.36B,10.48%,15.87M,16.66M,FINVIZ
LGVN,69.62M,9.91%,2.60M,19.00M,FINVIZ
LHAA,285.90M,0.15%,N/A,22.95M,YAHOO
LHDX,224.86M,2.55%,34.43M,38.48M,FINVIZ
LI,31.90B,10.68%,223.21M,905.05M,FINVIZ
LICY,1.87B,N/A,76.73M,163.18M,YAHOO
LIDR,648.50M,N/A,106.92M,154.4M,YAHOO
LIFE,221.62M,7.89%,15.30M,16.13M,FINVIZ
LILA,2.80B,0.35%,200.14M,233.96M,FINVIZ
LILAK,2.85B,1.98%,183.44M,182.65M,YAHOO
LILM,N/A,N/A,28.05k,259.7M,YAHOO
LIND,750.19M,17.00%,30.66M,50.06M,FINVIZ
LIQT,123.52M,7.06%,19.21M,21.77M,FINVIZ
LITE,6.05B,8.36%,72.33M,74.80M,FINVIZ
LITTU,N/A,N/A,N/A,N/A,YAHOO
LIVE,50.92M,0.81%,1.27M,1.57M,FINVIZ
LIXT,25.74M,1.19%,4.52M,13.63M,FINVIZ
LIZI,165.24M,5.54%,22.63M,49.88M,FINVIZ
LJAQU,-,0.00%,12.44M,-,FINVIZ
LJPC,108.26M,1.34%,27.03M,27.46M,FINVIZ
LKCO,440.70M,5.86%,181.77M,232.60M,FINVIZ
LKFN,1.80B,7.20%,24.34M,25.47M,FINVIZ
LKQ,16.21B,2.01%,290.73M,300.58M,FINVIZ
LLNW,382.96M,5.30%,120.62M,126.05M,FINVIZ
LMACA,728.78M,0.15%,41.91M,71.88M,FINVIZ
LMACU,-,0.00%,56.28M,-,FINVIZ
LMAOU,N/A,N/A,N/A,N/A,YAHOO
LMB,71.92M,0.82%,8.19M,10.25M,FINVIZ
LMBS,Not Found,Not Found,Not Found,Not Found,YAHOO
LMDX,N/A,N/A,N/A,N/A,YAHOO
LMFA,75.09M,8.42%,5.04M,5.41M,FINVIZ
LMNL,54.91M,3.61%,10.06M,29.94M,FINVIZ
LMRK,420.31M,0.10%,18.57M,25.49M,FINVIZ
LNT,14.00B,1.25%,250.02M,250.20M,FINVIZ
LNTH,1.61B,4.07%,65.68M,67.50M,FINVIZ
LOAN,74.62M,0.19%,8.72M,11.33M,FINVIZ
LOB,3.88B,5.77%,31.39M,43.17M,FINVIZ
LOCO,541.55M,8.12%,19.32M,35.93M,FINVIZ
LOGC,116.91M,2.23%,26.94M,32.16M,FINVIZ
LOGI,14.49B,9.99%,167.70M,168.37M,FINVIZ
LOOP,732.87M,11.20%,19.42M,44.13M,FINVIZ
LOPE,3.62B,1.80%,44.55M,45.49M,FINVIZ
LOTZ,429.26M,6.07%,88.51M,119.24M,FINVIZ
LOVE,1.22B,17.94%,14.03M,15.10M,FINVIZ
LPCN,94.38M,4.46%,86.08M,88.29M,FINVIZ
LPLA,13.04B,1.63%,79.61M,80.06M,FINVIZ
LPRO,4.15B,3.85%,102.11M,126.23M,FINVIZ
LPSN,3.51B,18.45%,64.97M,69.06M,FINVIZ
LPTH,53.20M,1.80%,20.31M,26.80M,FINVIZ
LPTX,243.54M,33.42%,32.08M,59.67M,FINVIZ
LQDA,201.90M,1.72%,41.90M,50.85M,FINVIZ
LQDT,805.48M,5.38%,26.79M,33.37M,FINVIZ
LRCX,79.17B,1.70%,140.50M,142.66M,FINVIZ
LRMR,206.85M,8.22%,6.23M,16.00M,FINVIZ
LSCC,9.59B,3.09%,134.09M,136.39M,FINVIZ
LSEA,421.10M,2.32%,10.82M,45.28M,FINVIZ
LSTR,6.58B,3.45%,37.97M,38.40M,FINVIZ
LSXMA,18.21B,4.09%,295.79M,97.43M,YAHOO
LSXMK,18.21B,2.77%,295.79M,225.2M,YAHOO
LTBR,68.90M,3.77%,6.51M,6.60M,FINVIZ
LTCH,1.37B,N/A,69.45M,141.27M,YAHOO
LTRN,117.01M,2.32%,9.04M,11.18M,FINVIZ
LTRPA,320.09M,2.25%,72.31M,76.00M,FINVIZ
LTRX,270.34M,0.60%,19.18M,28.98M,FINVIZ
LULU,60.82B,1.79%,114.04M,130.01M,FINVIZ
LUNG,1.43B,4.21%,33.58M,36.04M,FINVIZ
LUXA,424.78M,1.13%,30.98M,34.5M,YAHOO
LUXAU,-,0.00%,26.41M,-,FINVIZ
LVO,185.17M,6.93%,56.26M,76.98M,FINVIZ
LVOX,578.18M,6.05%,18.43M,69.94M,FINVIZ
LVRAU,N/A,N/A,N/A,N/A,YAHOO
LVTX,205.74M,0.54%,17.64M,25.35M,FINVIZ
LWAY,85.14M,8.47%,3.40M,15.64M,FINVIZ
LWLG,1.11B,2.06%,103.26M,104.13M,FINVIZ
LX,982.03M,2.80%,63.09M,182.24M,FINVIZ
LXRX,773.29M,2.46%,138.37M,144.45M,FINVIZ
LYEL,3.36B,2.38%,200.53M,242.83M,FINVIZ
LYFT,15.78B,9.56%,284.28M,332.10M,FINVIZ
